Timestamp,Src_IP,Src_Port,Dst_IP,Dst_Port,Flags,Label
2025-06-14 09:57:59,192.168.1.11,306,192.168.1.4,52046,RA,
2025-06-14 09:57:59,192.168.1.4,39700,192.168.1.11,8100,S,VARREDURA_DE_PORTA
2025-06-14 09:57:59,192.168.1.11,8100,192.168.1.4,39700,RA,
2025-06-14 09:57:59,192.168.1.4,52898,192.168.1.11,8383,S,VARREDURA_DE_PORTA
2025-06-14 09:57:59,192.168.1.11,8383,192.168.1.4,52898,RA,
2025-06-14 09:57:59,192.168.1.4,58586,192.168.1.11,32,S,VARREDURA_DE_PORTA
2025-06-14 09:57:59,192.168.1.11,32,192.168.1.4,58586,RA,
2025-06-14 09:57:59,192.168.1.4,47064,192.168.1.11,3918,S,VARREDURA_DE_PORTA
2025-06-14 09:57:59,192.168.1.11,3918,192.168.1.4,47064,RA,
2025-06-14 09:57:59,192.168.1.4,37348,192.168.1.11,3878,S,VARREDURA_DE_PORTA
2025-06-14 09:57:59,192.168.1.11,3878,192.168.1.4,37348,RA,
2025-06-14 09:57:59,192.168.1.4,33988,192.168.1.11,9220,S,VARREDURA_DE_PORTA
2025-06-14 09:57:59,192.168.1.11,9220,192.168.1.4,33988,RA,
2025-06-14 09:57:59,192.168.1.4,39560,192.168.1.11,33899,S,VARREDURA_DE_PORTA
2025-06-14 09:57:59,192.168.1.11,33899,192.168.1.4,39560,RA,
2025-06-14 09:57:59,192.168.1.4,42838,192.168.1.11,1455,S,VARREDURA_DE_PORTA
2025-06-14 09:57:59,192.168.1.11,1455,192.168.1.4,42838,RA,
2025-06-14 09:57:59,192.168.1.4,50742,192.168.1.11,6001,S,VARREDURA_DE_PORTA
2025-06-14 09:57:59,192.168.1.11,6001,192.168.1.4,50742,RA,
2025-06-14 09:57:59,192.168.1.4,38982,192.168.1.11,32778,S,VARREDURA_DE_PORTA
2025-06-14 09:57:59,192.168.1.11,32778,192.168.1.4,38982,RA,
2025-06-14 09:57:59,192.168.1.4,44122,192.168.1.11,89,S,VARREDURA_DE_PORTA
2025-06-14 09:57:59,192.168.1.11,89,192.168.1.4,44122,RA,
2025-06-14 09:57:59,192.168.1.4,49364,192.168.1.11,27355,S,VARREDURA_DE_PORTA
2025-06-14 09:57:59,192.168.1.11,27355,192.168.1.4,49364,RA,
2025-06-14 09:57:59,192.168.1.4,48998,192.168.1.11,3880,S,VARREDURA_DE_PORTA
2025-06-14 09:57:59,192.168.1.11,3880,192.168.1.4,48998,RA,
2025-06-14 09:57:59,192.168.1.4,51368,192.168.1.11,1198,S,VARREDURA_DE_PORTA
2025-06-14 09:57:59,192.168.1.11,1198,192.168.1.4,51368,RA,
2025-06-14 09:57:59,192.168.1.4,37924,192.168.1.11,2179,S,VARREDURA_DE_PORTA
2025-06-14 09:57:59,192.168.1.11,2179,192.168.1.4,37924,RA,
2025-06-14 09:57:59,192.168.1.4,33324,192.168.1.11,8873,S,VARREDURA_DE_PORTA
2025-06-14 09:57:59,192.168.1.11,8873,192.168.1.4,33324,RA,
2025-06-14 09:57:59,192.168.1.4,60496,192.168.1.11,12000,S,VARREDURA_DE_PORTA
2025-06-14 09:57:59,192.168.1.11,12000,192.168.1.4,60496,RA,
2025-06-14 09:57:59,192.168.1.4,36700,192.168.1.11,5102,S,VARREDURA_DE_PORTA
2025-06-14 09:57:59,192.168.1.11,5102,192.168.1.4,36700,RA,
2025-06-14 09:57:59,192.168.1.4,37018,192.168.1.11,32773,S,VARREDURA_DE_PORTA
2025-06-14 09:57:59,192.168.1.4,54756,192.168.1.11,1311,S,VARREDURA_DE_PORTA
2025-06-14 09:57:59,192.168.1.11,32773,192.168.1.4,37018,RA,
2025-06-14 09:57:59,192.168.1.11,1311,192.168.1.4,54756,RA,
2025-06-14 09:57:59,192.168.1.4,40674,192.168.1.11,1166,S,VARREDURA_DE_PORTA
2025-06-14 09:57:59,192.168.1.11,1166,192.168.1.4,40674,RA,
2025-06-14 09:57:59,192.168.1.4,51316,192.168.1.11,1700,S,VARREDURA_DE_PORTA
2025-06-14 09:57:59,192.168.1.11,1700,192.168.1.4,51316,RA,
2025-06-14 09:57:59,192.168.1.4,48852,192.168.1.11,1972,S,VARREDURA_DE_PORTA
2025-06-14 09:57:59,192.168.1.11,1972,192.168.1.4,48852,RA,
2025-06-14 09:57:59,192.168.1.4,54678,192.168.1.11,5679,S,VARREDURA_DE_PORTA
2025-06-14 09:57:59,192.168.1.11,5679,192.168.1.4,54678,RA,
2025-06-14 09:57:59,192.168.1.4,34532,192.168.1.11,49160,S,VARREDURA_DE_PORTA
2025-06-14 09:57:59,192.168.1.11,49160,192.168.1.4,34532,RA,
2025-06-14 09:57:59,192.168.1.4,39844,192.168.1.11,3300,S,VARREDURA_DE_PORTA
